aweme_id,create_datetime,create_date,aweme_url,video_file,download_status,file_size_bytes,engagement_total,liked_count,collected_count,comment_count,share_count,error,probe_status,width,height,fps,frame_count,duration_seconds
7634534925051462001,2026-04-30 12:54:41,2026-04-30,https://www.douyin.com/video/7634534925051462001,raw/assets/Akkkk缺失视频/2026-04-30_7634534925051462001.mp4,downloaded,29373713,677,467,59,26,125,,ok,576,1024,30.000,10025,334.167
7633037423778412538,2026-04-26 12:03:36,2026-04-26,https://www.douyin.com/video/7633037423778412538,raw/assets/Akkkk缺失视频/2026-04-26_7633037423778412538.mp4,downloaded,1474785,2281,1870,157,99,155,,ok,1080,1920,27.216,567,20.833
7632368715938312433,2026-04-24 16:48:43,2026-04-24,https://www.douyin.com/video/7632368715938312433,raw/assets/Akkkk缺失视频/2026-04-24_7632368715938312433.mp4,downloaded,23730798,5180,2784,922,59,1415,,ok,1080,1920,24.000,19540,814.167
7630848041818143857,2026-04-20 14:27:41,2026-04-20,https://www.douyin.com/video/7630848041818143857,raw/assets/Akkkk缺失视频/2026-04-20_7630848041818143857.mp4,downloaded,22872486,11770,8594,1921,206,1049,,ok,720,1280,30.000,7634,254.467
7628999549637906809,2026-04-15 14:54:36,2026-04-15,https://www.douyin.com/video/7628999549637906809,raw/assets/Akkkk缺失视频/2026-04-15_7628999549637906809.mp4,downloaded,21392076,6941,5563,877,132,369,,ok,576,1024,30.000,4424,147.467
7626036975644832241,2026-04-07 15:18:18,2026-04-07,https://www.douyin.com/video/7626036975644832241,raw/assets/Akkkk缺失视频/2026-04-07_7626036975644832241.mp4,downloaded,31025266,9637,6883,1361,164,1229,,ok,720,1280,30.000,10020,334.000
7624923136303694769,2026-04-04 15:16:02,2026-04-04,https://www.douyin.com/video/7624923136303694769,raw/assets/Akkkk缺失视频/2026-04-04_7624923136303694769.mp4,downloaded,20507478,3650,3030,283,126,211,,ok,576,1024,30.000,5187,172.900
7623827381749074289,2026-04-01 16:23:56,2026-04-01,https://www.douyin.com/video/7623827381749074289,raw/assets/Akkkk缺失视频/2026-04-01_7623827381749074289.mp4,downloaded,50801962,6582,5023,764,336,459,,ok,720,1280,30.000,18247,608.233
7622601323007698417,2026-03-29 09:06:13,2026-03-29,https://www.douyin.com/video/7622601323007698417,raw/assets/Akkkk缺失视频/2026-03-29_7622601323007698417.mp4,downloaded,704380,2592,2065,268,71,188,,ok,720,1280,28.031,242,8.633
7621577194427270522,2026-03-26 14:52:04,2026-03-26,https://www.douyin.com/video/7621577194427270522,raw/assets/Akkkk缺失视频/2026-03-26_7621577194427270522.mp4,downloaded,44890911,6402,5373,580,157,292,,ok,576,1024,30.000,12088,402.933
7619331136589680122,2026-03-20 13:36:13,2026-03-20,https://www.douyin.com/video/7619331136589680122,raw/assets/Akkkk缺失视频/2026-03-20_7619331136589680122.mp4,downloaded,1549175,3032,2564,221,54,193,,ok,720,1280,30.000,524,17.467
7618971297758939057,2026-03-19 14:19:52,2026-03-19,https://www.douyin.com/video/7618971297758939057,raw/assets/Akkkk缺失视频/2026-03-19_7618971297758939057.mp4,downloaded,27494909,3674,2919,375,97,283,,ok,576,1024,30.000,9030,301.000
7618256677389298105,2026-03-17 16:06:47,2026-03-17,https://www.douyin.com/video/7618256677389298105,raw/assets/Akkkk缺失视频/2026-03-17_7618256677389298105.mp4,downloaded,22587374,9178,6820,1240,217,901,,ok,720,1280,30.000,7960,265.333
7616349448264191738,2026-03-12 12:45:45,2026-03-12,https://www.douyin.com/video/7616349448264191738,raw/assets/Akkkk缺失视频/2026-03-12_7616349448264191738.mp4,downloaded,27851899,4698,3636,535,150,377,,ok,720,1280,30.000,9793,326.433
7608602943714280059,2026-02-19 15:45:25,2026-02-19,https://www.douyin.com/video/7608602943714280059,raw/assets/Akkkk缺失视频/2026-02-19_7608602943714280059.mp4,downloaded,36353521,6274,5013,704,116,441,,ok,720,1280,30.000,11930,397.667
7606379661292435825,2026-02-13 15:57:55,2026-02-13,https://www.douyin.com/video/7606379661292435825,raw/assets/Akkkk缺失视频/2026-02-13_7606379661292435825.mp4,downloaded,52498845,7688,5664,1082,89,853,,ok,720,1280,30.000,19097,636.567
7603426762958019825,2026-02-05 16:59:17,2026-02-05,https://www.douyin.com/video/7603426762958019825,raw/assets/Akkkk缺失视频/2026-02-05_7603426762958019825.mp4,downloaded,44103439,18266,12523,3161,357,2225,,ok,1080,1920,30.000,15448,514.933
7601572356120794597,2026-01-31 17:03:06,2026-01-31,https://www.douyin.com/video/7601572356120794597,raw/assets/Akkkk缺失视频/2026-01-31_7601572356120794597.mp4,downloaded,3704328,2455,2032,183,134,106,,ok,576,1024,30.000,956,31.867
7597837288257799609,2026-01-21 15:29:12,2026-01-21,https://www.douyin.com/video/7597837288257799609,raw/assets/Akkkk缺失视频/2026-01-21_7597837288257799609.mp4,downloaded,52521485,5068,3787,650,183,448,,ok,576,1024,30.000,10981,366.033
7596327728018866041,2026-01-17 13:51:16,2026-01-17,https://www.douyin.com/video/7596327728018866041,raw/assets/Akkkk缺失视频/2026-01-17_7596327728018866041.mp4,downloaded,13618124,3476,2830,376,67,203,,ok,720,1280,29.889,4862,162.667
7594492965419411825,2026-01-12 15:11:26,2026-01-12,https://www.douyin.com/video/7594492965419411825,raw/assets/Akkkk缺失视频/2026-01-12_7594492965419411825.mp4,downloaded,11069288,8101,6569,992,173,367,,ok,1080,1920,30.000,3717,123.900
7592999616145222769,2026-01-08 14:36:28,2026-01-08,https://www.douyin.com/video/7592999616145222769,raw/assets/Akkkk缺失视频/2026-01-08_7592999616145222769.mp4,downloaded,24314783,11215,8966,1425,197,627,,ok,576,1024,30.000,6520,217.333
7592256110880804601,2026-01-06 14:31:18,2026-01-06,https://www.douyin.com/video/7592256110880804601,raw/assets/Akkkk缺失视频/2026-01-06_7592256110880804601.mp4,downloaded,34941998,3147,2558,315,109,165,,ok,1080,1920,30.000,12386,412.867
