aweme_id,aweme_url,collected_count,comment_count,create_date,create_datetime,detected_language,download_status,duration_seconds,engagement_total,error,file_size_bytes,fps,frame_count,height,liked_count,probe_status,segment_count,share_count,transcribe_status,transcript_file,video_file,width
7634534925051462001,https://www.douyin.com/video/7634534925051462001,59,26,2026-04-30,2026-04-30 12:54:41,zh,downloaded,334.167,677,,29373713,30.000,10025,1024,467,ok,183,125,ok,raw/sources/Akkkk缺失视频转写/2026-04-30_7634534925051462001.md,raw/assets/Akkkk缺失视频/2026-04-30_7634534925051462001.mp4,576
7633037423778412538,https://www.douyin.com/video/7633037423778412538,157,99,2026-04-26,2026-04-26 12:03:36,zh,downloaded,20.833,2281,,1474785,27.216,567,1920,1870,ok,1,155,ok,raw/sources/Akkkk缺失视频转写/2026-04-26_7633037423778412538.md,raw/assets/Akkkk缺失视频/2026-04-26_7633037423778412538.mp4,1080
7632368715938312433,https://www.douyin.com/video/7632368715938312433,922,59,2026-04-24,2026-04-24 16:48:43,zh,downloaded,814.167,5180,,23730798,24.000,19540,1920,2784,ok,249,1415,ok,raw/sources/Akkkk缺失视频转写/2026-04-24_7632368715938312433.md,raw/assets/Akkkk缺失视频/2026-04-24_7632368715938312433.mp4,1080
7630848041818143857,https://www.douyin.com/video/7630848041818143857,1921,206,2026-04-20,2026-04-20 14:27:41,zh,downloaded,254.467,11770,,22872486,30.000,7634,1280,8594,ok,17,1049,ok,raw/sources/Akkkk缺失视频转写/2026-04-20_7630848041818143857.md,raw/assets/Akkkk缺失视频/2026-04-20_7630848041818143857.mp4,720
7628999549637906809,https://www.douyin.com/video/7628999549637906809,877,132,2026-04-15,2026-04-15 14:54:36,zh,downloaded,147.467,6941,,21392076,30.000,4424,1024,5563,ok,47,369,ok,raw/sources/Akkkk缺失视频转写/2026-04-15_7628999549637906809.md,raw/assets/Akkkk缺失视频/2026-04-15_7628999549637906809.mp4,576
7626036975644832241,https://www.douyin.com/video/7626036975644832241,1361,164,2026-04-07,2026-04-07 15:18:18,zh,downloaded,334.000,9637,,31025266,30.000,10020,1280,6883,ok,142,1229,ok,raw/sources/Akkkk缺失视频转写/2026-04-07_7626036975644832241.md,raw/assets/Akkkk缺失视频/2026-04-07_7626036975644832241.mp4,720
7624923136303694769,https://www.douyin.com/video/7624923136303694769,283,126,2026-04-04,2026-04-04 15:16:02,zh,downloaded,172.900,3650,,20507478,30.000,5187,1024,3030,ok,100,211,ok,raw/sources/Akkkk缺失视频转写/2026-04-04_7624923136303694769.md,raw/assets/Akkkk缺失视频/2026-04-04_7624923136303694769.mp4,576
7623827381749074289,https://www.douyin.com/video/7623827381749074289,764,336,2026-04-01,2026-04-01 16:23:56,zh,downloaded,608.233,6582,,50801962,30.000,18247,1280,5023,ok,297,459,ok,raw/sources/Akkkk缺失视频转写/2026-04-01_7623827381749074289.md,raw/assets/Akkkk缺失视频/2026-04-01_7623827381749074289.mp4,720
7622601323007698417,https://www.douyin.com/video/7622601323007698417,268,71,2026-03-29,2026-03-29 09:06:13,zh,downloaded,8.633,2592,,704380,28.031,242,1280,2065,ok,2,188,ok,raw/sources/Akkkk缺失视频转写/2026-03-29_7622601323007698417.md,raw/assets/Akkkk缺失视频/2026-03-29_7622601323007698417.mp4,720
7621577194427270522,https://www.douyin.com/video/7621577194427270522,580,157,2026-03-26,2026-03-26 14:52:04,zh,downloaded,402.933,6402,,44890911,30.000,12088,1024,5373,ok,227,292,ok,raw/sources/Akkkk缺失视频转写/2026-03-26_7621577194427270522.md,raw/assets/Akkkk缺失视频/2026-03-26_7621577194427270522.mp4,576
7619331136589680122,https://www.douyin.com/video/7619331136589680122,221,54,2026-03-20,2026-03-20 13:36:13,zh,downloaded,17.467,3032,,1549175,30.000,524,1280,2564,ok,10,193,ok,raw/sources/Akkkk缺失视频转写/2026-03-20_7619331136589680122.md,raw/assets/Akkkk缺失视频/2026-03-20_7619331136589680122.mp4,720
7618971297758939057,https://www.douyin.com/video/7618971297758939057,375,97,2026-03-19,2026-03-19 14:19:52,zh,downloaded,301.000,3674,,27494909,30.000,9030,1024,2919,ok,187,283,ok,raw/sources/Akkkk缺失视频转写/2026-03-19_7618971297758939057.md,raw/assets/Akkkk缺失视频/2026-03-19_7618971297758939057.mp4,576
7618256677389298105,https://www.douyin.com/video/7618256677389298105,1240,217,2026-03-17,2026-03-17 16:06:47,zh,downloaded,265.333,9178,,22587374,30.000,7960,1280,6820,ok,154,901,ok,raw/sources/Akkkk缺失视频转写/2026-03-17_7618256677389298105.md,raw/assets/Akkkk缺失视频/2026-03-17_7618256677389298105.mp4,720
