"Path","SourceId","RawPath","Issue","Suggestion","Reason"
"日志.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"索引.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"AGENTS.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"README.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"01-状态\待确认问题.md","src-20260623-kb-status-pending-questions","","缺少 canonical_url","留待人工核验","canonical_url 缺失"
"01-状态\当前状态.md","src-20260623-kb-status-current","","缺少 canonical_url","留待人工核验","canonical_url 缺失"
"01-状态\技术债台账.md","src-20260623-kb-status-tech-debt","","缺少 canonical_url","留待人工核验","canonical_url 缺失"
"01-状态\已确认决策.md","src-20260623-kb-status-confirmed-decisions","","缺少 canonical_url","留待人工核验","canonical_url 缺失"
"01-状态\资料来源.md","src-20260623-kb-status-source-register","","缺少 canonical_url","留待人工核验","canonical_url 缺失"
"05-任务管理\任务-005.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"05-任务管理\任务-006.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"05-任务管理\任务队列.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"05-任务管理\任务模板.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"05-任务管理\任务总表.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\报告-001.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\报告-002.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\报告-003.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\报告-004.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\报告-005.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\报告模板.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\报告索引.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\refactor\20260623-234914\duplicate-clusters.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\refactor\20260623-234914\execution-log.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\refactor\20260623-234914\inventory.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\refactor\20260623-234914\migration-plan.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\refactor\20260623-234914\path-map.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\refactor\20260623-234914\unresolved-items.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\refactor\20260623-234914\validation-report.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\refactor\20260623-234959\duplicate-clusters.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\refactor\20260623-234959\execution-log.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\refactor\20260623-234959\inventory.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\refactor\20260623-234959\migration-plan.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\refactor\20260623-234959\path-map.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\refactor\20260623-234959\unresolved-items.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\refactor\20260623-234959\validation-report.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\refactor\20260623-235035\c-level-preflight.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\refactor\20260623-235035\directory-result.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\refactor\20260623-235035\duplicate-clusters.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
"06-报告证据\refactor\20260623-235035\execution-log.md","","","缺少 source_id","无法可靠映射","缺少 source_id"
